latitude,longitude,school
44.04819023,-123.0839178,Oregon
44.04942279,-123.0839103,Oregon
44.04935625,-123.0839167,Oregon
44.04821665,-123.0844386,Oregon
44.0479906,-123.0836767,Oregon
44.04416,-123.06791,Oregon
44.0441,-123.06829,Oregon
44.04358,-123.06841,Oregon
44.04355,-123.06707,Oregon
44.04586,-123.07107,Oregon
44.04465,-123.07067,Oregon
44.04502,-123.07193,Oregon
44.04574,-123.07155,Oregon
44.04531,-123.07147,Oregon
44.04506,-123.07182,Oregon
44.04455,-123.07172,Oregon
44.04502,-123.0721,Oregon
44.04507,-123.07146,Oregon
44.04468,-123.07063,Oregon
44.04456,-123.07392,Oregon
44.04348,-123.07369,Oregon
44.04367,-123.07364,Oregon
44.04274,-123.07312,Oregon
44.04580047,-123.0688611,Oregon
44.04428212,-123.0688372,Oregon
44.04441628,-123.0688566,Oregon
44.04480993,-123.0690911,Oregon
44.04466899,-123.0687693,Oregon
44.04483677,-123.0686153,Oregon
44.04464165,-123.0690685,Oregon
44.0450221,-123.0687658,Oregon
44.0446899,-123.0682395,Oregon
44.04452478,-123.0686363,Oregon
44.0451428,-123.0686975,Oregon
44.03956282,-123.0667363,Oregon
44.04075042,-123.0658335,Oregon
44.04038941,-123.0648069,Oregon
44.040292,-123.0650671,Oregon
44.03899287,-123.0661002,Oregon
44.04003111,-123.0647958,Oregon
44.04068626,-123.0653187,Oregon
44.03997012,-123.0647526,Oregon
44.04752411,-123.0830506,Oregon
44.04731972,-123.0831009,Oregon
44.04759296,-123.0832906,Oregon
44.04760886,-123.0835657,Oregon
44.04725436,-123.0831366,Oregon
44.04344808,-123.0860409,Oregon
44.04332204,-123.0844287,Oregon
44.04265192,-123.0852858,Oregon
44.04297528,-123.0863219,Oregon
44.04268496,-123.0849303,Oregon
44.04346153,-123.0843297,Oregon
44.04236046,-123.0836534,Oregon
44.04323772,-123.0858746,Oregon
44.04345724,-123.0858494,Oregon
44.04390872,-123.0857276,Oregon
44.04217987,-123.0842699,Oregon
44.04460432,-123.0856234,Oregon
44.04303874,-123.0860543,Oregon
44.04456493,-123.0855827,Oregon
44.060237,-123.107463,Oregon
44.061424,-123.105618,Oregon
44.06123,-123.1078,Oregon
44.06132,-123.1069,Oregon
44.06149,-123.1071,Oregon
44.060321,-123.005163,Oregon
44.028579,-123.054683,Oregon
44.39862,-122.68549,Oregon
44.6213411,-123.0859452,OSU
44.64079956,-123.0458245,Oregon
44.61923,-123.0878,OSU
44.54182656,-123.3619466,OSU
44.55749934,-123.2793578,OSU
44.57391855,-123.287596,OSU
44.56784711,-123.279344,OSU
44.55721054,-123.2882861,OSU
44.57210161,-123.2761191,OSU
44.57381869,-123.2771912,OSU
44.5735044,-123.2778563,OSU
44.57308001,-123.2766478,OSU
44.57302323,-123.2760291,OSU
44.5715477,-123.2758575,OSU
44.57193311,-123.2780156,OSU
44.57259197,-123.2775657,OSU
44.57295587,-123.2761191,OSU
44.57124224,-123.2667335,OSU
44.56840878,-123.2689757,OSU
44.57253429,-123.2675405,OSU
44.57185573,-123.2683312,OSU
44.57213744,-123.2679835,OSU
44.5763123,-123.2672531,OSU
44.57231203,-123.2700421,OSU
44.56441701,-123.2819594,OSU
44.56466901,-123.2821409,OSU
44.5640435,-123.2814809,OSU
44.56454283,-123.2825432,OSU
44.53036579,-122.8954034,OSU
44.56289153,-123.2695613,Oregon
44.11747511,-123.1418085,OSU
